,Age,Min,Gls,Ast,Gls+Ast,Tackle,Press,Blocks,Passes Completed,Passes Attempted,Market value
217,21.0,3004.0,10.0,4.0,14.0,28.0,527.0,38.0,963.0,1442.0,29
218,17.0,975.0,6.0,1.0,7.0,19.0,181.0,12.0,338.0,399.0,29
219,19.0,3127.0,6.0,1.0,7.0,102.0,376.0,73.0,1295.0,1573.0,29
221,22.0,4299.0,15.0,6.0,21.0,62.0,1029.0,34.0,1185.0,1537.0,28
223,24.0,755.0,3.0,1.0,4.0,8.0,215.0,12.0,210.0,274.0,28
224,21.0,503.0,3.0,0.0,3.0,4.0,87.0,7.0,169.0,189.0,28
225,23.0,3230.0,0.0,1.0,1.0,90.0,347.0,42.0,2427.0,2592.0,28
226,22.0,5196.0,4.0,0.0,4.0,97.0,479.0,124.0,1608.0,1925.0,28
228,23.0,3580.0,1.0,2.0,3.0,54.0,396.0,70.0,2713.0,3014.0,28
229,22.0,2382.0,2.0,2.0,4.0,81.0,385.0,50.0,1654.0,1792.0,28
230,22.0,3989.0,3.0,7.0,10.0,173.0,1479.0,124.0,1661.0,2116.0,28
231,25.0,2501.0,2.0,4.0,6.0,26.0,570.0,25.0,932.0,1184.0,28
233,22.0,5241.0,3.0,1.0,4.0,97.0,469.0,93.0,3550.0,3841.0,28
234,25.0,5198.0,2.0,1.0,3.0,59.0,430.0,78.0,2806.0,3176.0,28
235,24.0,5695.0,6.0,2.0,8.0,85.0,604.0,124.0,2494.0,2859.0,28
236,24.0,4416.0,2.0,2.0,4.0,61.0,401.0,78.0,2597.0,2987.0,28
237,25.0,2163.0,0.0,7.0,7.0,35.0,239.0,35.0,1697.0,1985.0,28
238,25.0,1196.0,3.0,0.0,3.0,21.0,320.0,27.0,541.0,677.0,28
241,25.0,2100.0,22.0,1.0,23.0,8.0,329.0,16.0,385.0,497.0,28
243,26.0,5476.0,4.0,10.0,14.0,156.0,923.0,127.0,2553.0,3648.0,28
244,25.0,5159.0,3.0,1.0,4.0,60.0,330.0,90.0,3397.0,3938.0,28
246,27.0,4861.0,24.0,16.0,40.0,49.0,965.0,40.0,1104.0,1531.0,28
247,27.0,3888.0,17.0,16.0,33.0,50.0,886.0,50.0,1586.0,2124.0,28
249,31.0,4881.0,2.0,3.0,5.0,151.0,1186.0,115.0,4189.0,4650.0,28
250,29.0,4026.0,4.0,8.0,12.0,109.0,1000.0,75.0,3091.0,3628.0,28
252,28.0,2187.0,7.0,7.0,14.0,55.0,584.0,27.0,1172.0,1397.0,28
253,32.0,4518.0,34.0,14.0,48.0,23.0,599.0,34.0,1226.0,1632.0,28
254,19.0,802.0,4.0,1.0,5.0,19.0,323.0,12.0,472.0,549.0,27
255,20.0,2287.0,13.0,4.0,17.0,8.0,439.0,17.0,232.0,368.0,27
257,19.0,4550.0,2.0,2.0,4.0,138.0,680.0,85.0,2351.0,2706.0,27
258,21.0,1638.0,3.0,1.0,4.0,47.0,163.0,27.0,879.0,979.0,27
259,23.0,3380.0,4.0,6.0,10.0,49.0,754.0,43.0,1171.0,1561.0,25
260,23.0,2442.0,4.0,10.0,14.0,41.0,415.0,30.0,621.0,931.0,25
261,24.0,1247.0,1.0,5.0,6.0,7.0,222.0,16.0,487.0,603.0,25
262,24.0,690.0,2.0,2.0,4.0,11.0,122.0,10.0,539.0,618.0,25
263,24.0,2373.0,2.0,1.0,3.0,74.0,567.0,52.0,1724.0,1884.0,25
264,24.0,4020.0,2.0,3.0,5.0,150.0,986.0,63.0,2008.0,2314.0,25
265,28.0,5512.0,1.0,1.0,2.0,97.0,458.0,76.0,2162.0,2721.0,25
266,30.0,2987.0,3.0,0.0,3.0,59.0,228.0,49.0,1013.0,1295.0,25
268,31.0,2578.0,11.0,4.0,15.0,17.0,451.0,23.0,682.0,843.0,25
271,19.0,1241.0,7.0,2.0,9.0,8.0,169.0,7.0,163.0,214.0,25
273,23.0,2612.0,13.0,2.0,15.0,16.0,551.0,36.0,427.0,600.0,25
274,30.0,3811.0,28.0,13.0,41.0,70.0,1060.0,54.0,1393.0,1717.0,25
279,22.0,3184.0,7.0,5.0,12.0,30.0,576.0,30.0,1109.0,1354.0,24
281,22.0,2168.0,6.0,7.0,13.0,19.0,356.0,23.0,646.0,900.0,24
282,23.0,4654.0,7.0,4.0,11.0,116.0,1197.0,91.0,2203.0,2818.0,24
283,22.0,3962.0,19.0,3.0,22.0,27.0,819.0,48.0,627.0,959.0,24
285,24.0,5313.0,0.0,0.0,0.0,89.0,407.0,100.0,2104.0,2573.0,24
286,26.0,4526.0,19.0,6.0,25.0,97.0,1431.0,99.0,1107.0,1444.0,24
288,27.0,5496.0,0.0,0.0,0.0,94.0,606.0,58.0,1282.0,1753.0,24
289,23.0,2695.0,5.0,6.0,11.0,55.0,552.0,58.0,1644.0,1966.0,24
290,23.0,2717.0,2.0,3.0,5.0,42.0,822.0,53.0,1122.0,1396.0,24
291,22.0,2179.0,0.0,3.0,3.0,55.0,302.0,34.0,2258.0,2519.0,24
293,23.0,3734.0,21.0,3.0,24.0,16.0,641.0,38.0,739.0,1034.0,24
294,23.0,2143.0,0.0,0.0,0.0,50.0,202.0,27.0,1480.0,1596.0,24
295,23.0,5029.0,3.0,2.0,5.0,84.0,452.0,95.0,4048.0,4494.0,24
297,20.0,2775.0,3.0,5.0,8.0,85.0,503.0,63.0,1285.0,1605.0,24
298,25.0,3673.0,20.0,9.0,29.0,32.0,1125.0,52.0,741.0,1149.0,24
301,26.0,3590.0,5.0,14.0,19.0,82.0,719.0,66.0,2043.0,2634.0,24
302,27.0,5055.0,22.0,9.0,31.0,24.0,1274.0,27.0,616.0,907.0,24
303,27.0,4050.0,20.0,6.0,26.0,8.0,498.0,26.0,934.0,1275.0,24
304,25.0,2766.0,6.0,1.0,7.0,98.0,648.0,67.0,1541.0,1765.0,24
305,25.0,2095.0,4.0,1.0,5.0,83.0,583.0,60.0,1032.0,1190.0,24
306,26.0,4589.0,5.0,3.0,8.0,104.0,817.0,82.0,3364.0,3979.0,24
308,27.0,2852.0,3.0,4.0,7.0,73.0,452.0,62.0,1596.0,1910.0,24
309,25.0,2732.0,3.0,11.0,14.0,47.0,486.0,34.0,1852.0,2095.0,24
310,28.0,1215.0,2.0,4.0,6.0,11.0,258.0,13.0,575.0,736.0,24
311,29.0,6091.0,3.0,10.0,13.0,185.0,1106.0,145.0,4357.0,5259.0,24
312,30.0,5339.0,1.0,2.0,3.0,77.0,435.0,116.0,3430.0,3979.0,24
313,30.0,4356.0,2.0,4.0,6.0,91.0,403.0,77.0,3526.0,3967.0,24
314,22.0,4418.0,7.0,10.0,17.0,75.0,913.0,71.0,1797.0,2182.0,23
319,19.0,1070.0,0.0,2.0,2.0,31.0,196.0,34.0,815.0,968.0,22
320,21.0,1790.0,1.0,2.0,3.0,54.0,523.0,30.0,706.0,910.0,22
321,20.0,5279.0,1.0,2.0,3.0,69.0,467.0,88.0,2690.0,3226.0,22
322,19.0,1681.0,1.0,0.0,1.0,50.0,313.0,34.0,709.0,832.0,22
324,19.0,1282.0,7.0,1.0,8.0,7.0,215.0,7.0,185.0,249.0,22
325,20.0,2759.0,5.0,7.0,12.0,47.0,537.0,47.0,740.0,948.0,22
326,21.0,3339.0,5.0,4.0,9.0,53.0,767.0,36.0,1309.0,1551.0,22
328,21.0,2252.0,3.0,6.0,9.0,25.0,564.0,37.0,581.0,796.0,22
329,22.0,2540.0,6.0,1.0,7.0,64.0,381.0,49.0,1134.0,1376.0,22
330,23.0,4312.0,6.0,2.0,8.0,97.0,657.0,71.0,2348.0,2707.0,22
331,26.0,2505.0,2.0,1.0,3.0,26.0,157.0,67.0,1011.0,1263.0,22
332,22.0,2415.0,6.0,5.0,11.0,52.0,499.0,30.0,726.0,1010.0,22
335,24.0,4576.0,10.0,7.0,17.0,126.0,1537.0,83.0,1847.0,2279.0,22
336,24.0,3919.0,5.0,0.0,5.0,108.0,1041.0,91.0,1471.0,1763.0,22
337,25.0,2901.0,5.0,7.0,12.0,25.0,548.0,31.0,1222.0,1677.0,22
339,25.0,430.0,1.0,0.0,1.0,9.0,120.0,8.0,132.0,174.0,22
340,26.0,2814.0,2.0,1.0,3.0,102.0,750.0,65.0,1420.0,1677.0,22
341,27.0,2390.0,9.0,9.0,18.0,33.0,501.0,32.0,834.0,1069.0,22
343,30.0,4294.0,11.0,11.0,22.0,75.0,985.0,40.0,2174.0,2789.0,22
345,20.0,1597.0,8.0,0.0,8.0,19.0,429.0,32.0,281.0,410.0,22
347,23.0,3814.0,17.0,10.0,27.0,46.0,882.0,50.0,785.0,1214.0,22
