,Age,Min,Gls,Ast,Gls+Ast,Tackle,Press,Blocks,Passes Completed,Passes Attempted,Market value
29,26.0,4567.0,31.0,2.0,33.0,21.0,567.0,28.0,836.0,1217.0,68
30,27.0,3871.0,10.0,14.0,24.0,60.0,933.0,63.0,2089.0,2728.0,68
33,27.0,5028.0,4.0,4.0,8.0,57.0,456.0,88.0,4018.0,4615.0,65
34,21.0,3273.0,18.0,4.0,22.0,17.0,699.0,49.0,423.0,649.0,64
35,23.0,4857.0,6.0,2.0,8.0,166.0,1140.0,74.0,3823.0,4147.0,64
37,21.0,4455.0,24.0,12.0,36.0,30.0,757.0,38.0,1122.0,1500.0,64
38,25.0,5743.0,1.0,19.0,20.0,132.0,835.0,106.0,4263.0,5240.0,64
39,23.0,3641.0,13.0,7.0,20.0,72.0,945.0,88.0,1461.0,1848.0,64
40,23.0,5304.0,44.0,15.0,59.0,31.0,791.0,43.0,1374.0,1909.0,64
41,26.0,5274.0,5.0,1.0,6.0,65.0,389.0,84.0,2817.0,3160.0,64
43,27.0,4891.0,7.0,2.0,9.0,186.0,1041.0,143.0,3019.0,3526.0,64
44,18.0,2314.0,4.0,5.0,9.0,80.0,443.0,57.0,1616.0,1870.0,60
47,26.0,3534.0,23.0,6.0,29.0,16.0,585.0,17.0,469.0,628.0,60
48,34.0,4885.0,45.0,12.0,57.0,21.0,492.0,24.0,1790.0,2157.0,60
49,22.0,2540.0,17.0,8.0,25.0,32.0,572.0,37.0,725.0,850.0,56
51,22.0,2018.0,9.0,5.0,14.0,19.0,408.0,19.0,991.0,1279.0,56
52,23.0,2037.0,1.0,1.0,2.0,49.0,267.0,41.0,1178.0,1375.0,56
55,25.0,3646.0,3.0,4.0,7.0,127.0,825.0,73.0,2569.0,2961.0,56
56,26.0,5476.0,4.0,1.0,5.0,72.0,386.0,86.0,3349.0,3851.0,56
57,28.0,4517.0,2.0,2.0,4.0,111.0,481.0,107.0,3363.0,3759.0,56
58,27.0,3429.0,13.0,8.0,21.0,46.0,605.0,51.0,1969.0,2331.0,56
59,30.0,5380.0,41.0,7.0,48.0,56.0,1113.0,89.0,1057.0,1516.0,56
60,30.0,5716.0,56.0,11.0,67.0,31.0,809.0,32.0,1191.0,1547.0,56
61,20.0,4455.0,7.0,14.0,21.0,93.0,721.0,86.0,3403.0,4003.0,54
62,21.0,2271.0,2.0,5.0,7.0,47.0,471.0,47.0,1174.0,1340.0,54
63,20.0,2220.0,11.0,6.0,17.0,37.0,459.0,36.0,842.0,1090.0,54
65,22.0,5241.0,24.0,4.0,28.0,113.0,1264.0,62.0,1011.0,1543.0,52
66,24.0,5073.0,27.0,17.0,44.0,55.0,911.0,55.0,1547.0,2022.0,52
67,25.0,4169.0,6.0,3.0,9.0,94.0,731.0,92.0,3300.0,3558.0,52
68,27.0,5167.0,6.0,2.0,8.0,134.0,1137.0,91.0,4309.0,4868.0,52
70,31.0,3911.0,37.0,11.0,48.0,24.0,684.0,37.0,949.0,1152.0,52
71,24.0,3535.0,14.0,9.0,23.0,64.0,629.0,48.0,1836.0,2110.0,50
72,21.0,5017.0,10.0,11.0,21.0,85.0,983.0,61.0,2712.0,3145.0,49
73,20.0,5883.0,2.0,2.0,4.0,202.0,1515.0,116.0,2614.0,3022.0,49
75,22.0,5708.0,22.0,9.0,31.0,62.0,1129.0,123.0,1442.0,2002.0,48
77,23.0,4012.0,1.0,1.0,2.0,84.0,444.0,77.0,2497.0,2815.0,48
78,21.0,5149.0,13.0,6.0,19.0,79.0,1090.0,56.0,1108.0,1575.0,48
79,22.0,5455.0,13.0,10.0,23.0,115.0,1393.0,52.0,2525.0,3291.0,48
80,24.0,678.0,5.0,3.0,8.0,14.0,187.0,9.0,389.0,548.0,48
82,24.0,3982.0,3.0,1.0,4.0,104.0,479.0,77.0,2664.0,2922.0,48
83,23.0,3729.0,24.0,5.0,29.0,29.0,546.0,32.0,1054.0,1344.0,48
84,28.0,2946.0,16.0,12.0,28.0,40.0,614.0,54.0,1603.0,1926.0,48
85,23.0,3295.0,2.0,1.0,3.0,44.0,215.0,46.0,2941.0,3159.0,48
87,28.0,4109.0,15.0,11.0,26.0,34.0,713.0,27.0,2229.0,2719.0,48
88,27.0,4788.0,5.0,3.0,8.0,62.0,392.0,85.0,2767.0,3004.0,48
90,28.0,4005.0,20.0,11.0,31.0,53.0,945.0,40.0,895.0,1202.0,48
91,27.0,4834.0,5.0,10.0,15.0,148.0,1134.0,90.0,2964.0,3598.0,48
93,29.0,4483.0,4.0,9.0,13.0,106.0,1118.0,62.0,3918.0,4406.0,48
94,18.0,750.0,2.0,0.0,2.0,5.0,158.0,15.0,325.0,388.0,45
96,20.0,3055.0,8.0,3.0,11.0,48.0,804.0,37.0,753.0,965.0,45
98,20.0,3650.0,0.0,1.0,1.0,86.0,440.0,71.0,2368.0,2694.0,45
101,22.0,3415.0,6.0,9.0,15.0,58.0,752.0,58.0,1756.0,2135.0,44
103,25.0,3755.0,19.0,12.0,31.0,25.0,593.0,26.0,1461.0,1976.0,44
104,26.0,5776.0,13.0,8.0,21.0,84.0,1470.0,61.0,1676.0,2155.0,44
105,26.0,4392.0,9.0,19.0,28.0,88.0,1190.0,65.0,2567.0,3271.0,44
106,20.0,3897.0,0.0,1.0,1.0,60.0,862.0,77.0,2430.0,2767.0,40
108,20.0,2515.0,6.0,4.0,10.0,46.0,670.0,23.0,999.0,1238.0,40
109,22.0,4214.0,4.0,6.0,10.0,66.0,1111.0,85.0,1244.0,1623.0,40
110,22.0,3572.0,2.0,9.0,11.0,108.0,1013.0,83.0,2151.0,2474.0,40
111,23.0,5400.0,4.0,4.0,8.0,64.0,458.0,84.0,3488.0,4038.0,40
112,23.0,1000.0,0.0,0.0,0.0,35.0,318.0,19.0,666.0,793.0,40
114,22.0,3906.0,6.0,2.0,8.0,128.0,795.0,86.0,1429.0,1685.0,40
115,21.0,2034.0,13.0,3.0,16.0,13.0,404.0,23.0,267.0,379.0,40
116,22.0,5569.0,3.0,7.0,10.0,107.0,1008.0,131.0,3103.0,4195.0,40
117,25.0,5647.0,18.0,5.0,23.0,37.0,913.0,40.0,955.0,1338.0,40
